asset_id,css_class,category_id,category_slug,category_name,sequence_in_category,source_size,work_size,source_file,source_decoded,clean_png_512,svg_512_tight,webp_original_transparent,webp_background_1920,bg_remove_method,bbox_512_alpha,visible_area_pct_512,svg_path_count,svg_file_chars,review_flags
wafo-02-deity_guardian-005,wafo-asset--02-deity_guardian-005,02,deity_guardian,Deity Guardian 天神護法神獸,5,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U6cf0#U570b#U795e#U7334#U6230#U58eb#U96d5#U50cf.png,02_Deity_Guardian_天神護法神獸/泰國神猴戰士雕像.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-005.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-005.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-005.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-005-bg1920.webp,v2_fast_clean_then_svg,"89,14,423,498",26.693,536,29838,complex_svg_many_paths
wafo-02-deity_guardian-006,wafo-asset--02-deity_guardian-006,02,deity_guardian,Deity Guardian 天神護法神獸,6,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U6cf0#U570b#U795e#U7947#U8207#U5927#U8c61#U7684#U8056#U50cf.png,02_Deity_Guardian_天神護法神獸/泰國神祇與大象的聖像.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-006.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-006.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-006.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-006-bg1920.webp,v2_fast_clean_then_svg,"82,14,429,497",18.303,260,17073,complex_svg_many_paths
wafo-02-deity_guardian-007,wafo-asset--02-deity_guardian-007,02,deity_guardian,Deity Guardian 天神護法神獸,7,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U6cf0#U5f0f#U795e#U7345#U5b88#U8b77#U7378#U5716#U6848.png,02_Deity_Guardian_天神護法神獸/泰式神獅守護獸圖案.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-007.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-007.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-007.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-007-bg1920.webp,v2_fast_clean_then_svg,"12,12,500,500",53.242,998,57187,complex_svg_many_paths
wafo-02-deity_guardian-010,wafo-asset--02-deity_guardian-010,02,deity_guardian,Deity Guardian 天神護法神獸,10,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U6cf0#U5f0f#U795e#U7947#U5b88#U8b77#U9762#U5177#U5716#U6848.png,02_Deity_Guardian_天神護法神獸/泰式神祇守護面具圖案.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-010.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-010.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-010.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-010-bg1920.webp,v2_fast_clean_then_svg,"96,15,416,497",16.595,340,26447,complex_svg_many_paths
wafo-02-deity_guardian-011,wafo-asset--02-deity_guardian-011,02,deity_guardian,Deity Guardian 天神護法神獸,11,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U6cf0#U5f0f#U91d1#U7dda#U5996#U9ce5#U821e#U8005.png,02_Deity_Guardian_天神護法神獸/泰式金線妖鳥舞者.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-011.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-011.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-011.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-011-bg1920.webp,v2_fast_clean_then_svg,"102,14,410,498",12.859,290,17876,complex_svg_many_paths
wafo-02-deity_guardian-012,wafo-asset--02-deity_guardian-012,02,deity_guardian,Deity Guardian 天神護法神獸,12,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U795e#U8056#U7684#U52a0#U9b6f#U9054#U9ce5#U7d0b#U7ae0.png,02_Deity_Guardian_天神護法神獸/神聖的加魯達鳥紋章.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-012.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-012.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-012.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-012-bg1920.webp,v2_fast_clean_then_svg,"16,14,496,498",22.758,376,29769,complex_svg_many_paths
wafo-02-deity_guardian-014,wafo-asset--02-deity_guardian-014,02,deity_guardian,Deity Guardian 天神護法神獸,14,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U795e#U8a71#U9ce5#U4eba#U7acb#U9ad4#U7d0b#U98fe.png,02_Deity_Guardian_天神護法神獸/神話鳥人立體紋飾.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-014.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-014.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-014.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-014-bg1920.webp,v2_fast_clean_then_svg,"44,14,468,498",33.498,699,37142,complex_svg_many_paths
wafo-02-deity_guardian-017,wafo-asset--02-deity_guardian-017,02,deity_guardian,Deity Guardian 天神護法神獸,17,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U8c61#U982d#U795e#U7518#U5c3c#U6c99#U795e#U50cf.png,02_Deity_Guardian_天神護法神獸/象頭神甘尼沙神像.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-017.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-017.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-017.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-017-bg1920.webp,v2_fast_clean_then_svg,"101,15,410,497",16.694,272,19338,complex_svg_many_paths
wafo-02-deity_guardian-019,wafo-asset--02-deity_guardian-019,02,deity_guardian,Deity Guardian 天神護法神獸,19,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U91d1#U7dda#U4e09#U9762#U795e#U50cf#U63d2#U5716.png,02_Deity_Guardian_天神護法神獸/金線三面神像插圖.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-019.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-019.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-019.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-019-bg1920.webp,v2_fast_clean_then_svg,"84,15,428,497",18.43,275,21003,complex_svg_many_paths
wafo-02-deity_guardian-020,wafo-asset--02-deity_guardian-020,02,deity_guardian,Deity Guardian 天神護法神獸,20,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U91d1#U7dda#U85dd#U8853#U7684#U6208#U5167#U6c99#U795e#U50cf.png,02_Deity_Guardian_天神護法神獸/金線藝術的戈內沙神像.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-020.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-020.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-020.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-020-bg1920.webp,v2_fast_clean_then_svg,"83,14,429,498",20.153,353,24338,complex_svg_many_paths
wafo-02-deity_guardian-022,wafo-asset--02-deity_guardian-022,02,deity_guardian,Deity Guardian 天神護法神獸,22,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U91d1#U8272#U52a0#U9b6f#U9054#U795e#U9ce5#U5fbd#U7ae0.png,02_Deity_Guardian_天神護法神獸/金色加魯達神鳥徽章.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-022.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-022.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-022.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-022-bg1920.webp,v2_fast_clean_then_svg,"42,14,470,497",24.379,323,22479,complex_svg_many_paths
wafo-02-deity_guardian-026,wafo-asset--02-deity_guardian-026,02,deity_guardian,Deity Guardian 天神護法神獸,26,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U9f8d#U5f62#U7b26#U865f#U5716#U9a30#U85dd#U8853.png,02_Deity_Guardian_天神護法神獸/龍形符號圖騰藝術.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-026.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-026.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-026.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-026-bg1920.webp,v2_fast_clean_then_svg,"97,14,414,498",13.326,284,20079,complex_svg_many_paths
wafo-03-amulet_type-002,wafo-asset--03-amulet_type-002,03,amulet_type,Amulet Type 聖物佛牌類型,2,1254x1254,max512,03_Amulet_Type_#U8056#U7269#U4f5b#U724c#U985e#U578b/#U4f5b#U9640#U7684#U5be7#U975c#U8096#U50cf.png,03_Amulet_Type_聖物佛牌類型/佛陀的寧靜肖像.png,01_clean_png_512_transparent/03_amulet_type/wafo-03-amulet_type-002.png,02_svg_512_tight_currentColor/03_amulet_type/wafo-03-amulet_type-002.svg,03_webp_original_transparent_q86/03_amulet_type/wafo-03-amulet_type-002.webp,04_webp_background_1920x1080/03_amulet_type/wafo-03-amulet_type-002-bg1920.webp,v2_fast_clean_then_svg,"93,15,418,497",17.776,319,24577,complex_svg_many_paths
wafo-03-amulet_type-005,wafo-asset--03-amulet_type-005,03,amulet_type,Amulet Type 聖物佛牌類型,5,1254x1254,max512,03_Amulet_Type_#U8056#U7269#U4f5b#U724c#U985e#U578b/#U6cf0#U5f0f#U4f5b#U6559#U8b77#U8eab#U7b26#U5716#U6a19.png,03_Amulet_Type_聖物佛牌類型/泰式佛教護身符圖標.png,01_clean_png_512_transparent/03_amulet_type/wafo-03-amulet_type-005.png,02_svg_512_tight_currentColor/03_amulet_type/wafo-03-amulet_type-005.svg,03_webp_original_transparent_q86/03_amulet_type/wafo-03-amulet_type-005.webp,04_webp_background_1920x1080/03_amulet_type/wafo-03-amulet_type-005-bg1920.webp,v2_fast_clean_then_svg,"36,15,476,497",16.269,308,23898,complex_svg_many_paths
wafo-03-amulet_type-014,wafo-asset--03-amulet_type-014,03,amulet_type,Amulet Type 聖物佛牌類型,14,1254x1254,max512,03_Amulet_Type_#U8056#U7269#U4f5b#U724c#U985e#U578b/#U91d1#U8272#U66fc#U9640#U7f85#U8b77#U7b26#U8a2d#U8a08.png,03_Amulet_Type_聖物佛牌類型/金色曼陀羅護符設計.png,01_clean_png_512_transparent/03_amulet_type/wafo-03-amulet_type-014.png,02_svg_512_tight_currentColor/03_amulet_type/wafo-03-amulet_type-014.svg,03_webp_original_transparent_q86/03_amulet_type/wafo-03-amulet_type-014.webp,04_webp_background_1920x1080/03_amulet_type/wafo-03-amulet_type-014-bg1920.webp,v2_fast_clean_then_svg,"13,12,500,500",24.409,723,48091,complex_svg_many_paths
wafo-03-amulet_type-015,wafo-asset--03-amulet_type-015,03,amulet_type,Amulet Type 聖物佛牌類型,15,1254x1254,max512,03_Amulet_Type_#U8056#U7269#U4f5b#U724c#U985e#U578b/#U91d1#U8272#U6cd5#U5668#U5716#U6848.png,03_Amulet_Type_聖物佛牌類型/金色法器圖案.png,01_clean_png_512_transparent/03_amulet_type/wafo-03-amulet_type-015.png,02_svg_512_tight_currentColor/03_amulet_type/wafo-03-amulet_type-015.svg,03_webp_original_transparent_q86/03_amulet_type/wafo-03-amulet_type-015.webp,04_webp_background_1920x1080/03_amulet_type/wafo-03-amulet_type-015-bg1920.webp,v2_fast_clean_then_svg,"171,14,340,498",12.204,303,16298,complex_svg_many_paths
wafo-03-amulet_type-016,wafo-asset--03-amulet_type-016,03,amulet_type,Amulet Type 聖物佛牌類型,16,1254x1254,max512,03_Amulet_Type_#U8056#U7269#U4f5b#U724c#U985e#U578b/#U91d1#U8272#U84ee#U5ea7#U4f5b#U50cf.png,03_Amulet_Type_聖物佛牌類型/金色蓮座佛像.png,01_clean_png_512_transparent/03_amulet_type/wafo-03-amulet_type-016.png,02_svg_512_tight_currentColor/03_amulet_type/wafo-03-amulet_type-016.svg,03_webp_original_transparent_q86/03_amulet_type/wafo-03-amulet_type-016.webp,04_webp_background_1920x1080/03_amulet_type/wafo-03-amulet_type-016-bg1920.webp,v2_fast_clean_then_svg,"12,12,500,500",69.152,1322,72921,very_large_visible_area|complex_svg_many_paths
wafo-05-wish_guide-014,wafo-asset--05-wish_guide-014,05,wish_guide,Wish Guide 需求導購願望方向,14,1254x1254,max512,05_Wish_Guide_#U9700#U6c42#U5c0e#U8cfc#U9858#U671b#U65b9#U5411/#U83ef#U9e97#U8ca1#U5bf6#U7897#U7684#U5716#U6848.png,05_Wish_Guide_需求導購願望方向/華麗財寶碗的圖案.png,01_clean_png_512_transparent/05_wish_guide/wafo-05-wish_guide-014.png,02_svg_512_tight_currentColor/05_wish_guide/wafo-05-wish_guide-014.svg,03_webp_original_transparent_q86/05_wish_guide/wafo-05-wish_guide-014.webp,04_webp_background_1920x1080/05_wish_guide/wafo-05-wish_guide-014-bg1920.webp,v2_fast_clean_then_svg,"26,14,486,498",27.913,268,22718,complex_svg_many_paths
wafo-05-wish_guide-017,wafo-asset--05-wish_guide-017,05,wish_guide,Wish Guide 需求導購願望方向,17,1254x1254,max512,05_Wish_Guide_#U9700#U6c42#U5c0e#U8cfc#U9858#U671b#U65b9#U5411/#U8ca1#U5bcc#U8c61#U5fb5#U8207#U795e#U8056#U5716#U6848.png,05_Wish_Guide_需求導購願望方向/財富象徵與神聖圖案.png,01_clean_png_512_transparent/05_wish_guide/wafo-05-wish_guide-017.png,02_svg_512_tight_currentColor/05_wish_guide/wafo-05-wish_guide-017.svg,03_webp_original_transparent_q86/05_wish_guide/wafo-05-wish_guide-017.webp,04_webp_background_1920x1080/05_wish_guide/wafo-05-wish_guide-017-bg1920.webp,v2_fast_clean_then_svg,"76,15,435,497",11.911,278,23812,complex_svg_many_paths
wafo-05-wish_guide-018,wafo-asset--05-wish_guide-018,05,wish_guide,Wish Guide 需求導購願望方向,18,1254x1254,max512,05_Wish_Guide_#U9700#U6c42#U5c0e#U8cfc#U9858#U671b#U65b9#U5411/#U8ca1#U795e#U5750#U96f2#U7aef.png,05_Wish_Guide_需求導購願望方向/財神坐雲端.png,01_clean_png_512_transparent/05_wish_guide/wafo-05-wish_guide-018.png,02_svg_512_tight_currentColor/05_wish_guide/wafo-05-wish_guide-018.svg,03_webp_original_transparent_q86/05_wish_guide/wafo-05-wish_guide-018.webp,04_webp_background_1920x1080/05_wish_guide/wafo-05-wish_guide-018-bg1920.webp,v2_fast_clean_then_svg,"77,14,435,498",21.319,412,26603,complex_svg_many_paths
wafo-06-trust_source-008,wafo-asset--06-trust_source-008,06,trust_source,Trust Source 品牌信任來源保證,8,1254x1254,max512,06_Trust_Source_#U54c1#U724c#U4fe1#U4efb#U4f86#U6e90#U4fdd#U8b49/#U7cbe#U7dfb#U6cf0#U5f0f#U5178#U79ae#U4f9b#U54c1#U63d2#U5716.png,06_Trust_Source_品牌信任來源保證/精緻泰式典禮供品插圖.png,01_clean_png_512_transparent/06_trust_source/wafo-06-trust_source-008.png,02_svg_512_tight_currentColor/06_trust_source/wafo-06-trust_source-008.svg,03_webp_original_transparent_q86/06_trust_source/wafo-06-trust_source-008.webp,04_webp_background_1920x1080/06_trust_source/wafo-06-trust_source-008-bg1920.webp,v2_fast_clean_then_svg,"48,14,464,498",21.137,418,25111,complex_svg_many_paths
wafo-07-blog_knowledge-006,wafo-asset--07-blog_knowledge-006,07,blog_knowledge,Blog Knowledge BLOG知識庫圖標,6,1254x1254,max512,07_Blog_Knowledge_BLOG#U77e5#U8b58#U5eab#U5716#U6a19/#U6cf0#U5f0f#U7d93#U6587#U8207#U5409#U7965#U7269#U5fbd#U7ae0.png,07_Blog_Knowledge_BLOG知識庫圖標/泰式經文與吉祥物徽章.png,01_clean_png_512_transparent/07_blog_knowledge/wafo-07-blog_knowledge-006.png,02_svg_512_tight_currentColor/07_blog_knowledge/wafo-07-blog_knowledge-006.svg,03_webp_original_transparent_q86/07_blog_knowledge/wafo-07-blog_knowledge-006.webp,04_webp_background_1920x1080/07_blog_knowledge/wafo-07-blog_knowledge-006-bg1920.webp,v2_fast_clean_then_svg,"51,14,461,497",18.027,331,23982,complex_svg_many_paths
wafo-08-thai_ornament-002,wafo-asset--08-thai_ornament-002,08,thai_ornament,Thai Ornament 傳統泰式紋樣,2,1254x1254,max512,08_Thai_Ornament_#U50b3#U7d71#U6cf0#U5f0f#U7d0b#U6a23/#U4f5b#U773c#U5716#U6848#U88dd#U98fe#U63d2#U756b.png,08_Thai_Ornament_傳統泰式紋樣/佛眼圖案裝飾插畫.png,01_clean_png_512_transparent/08_thai_ornament/wafo-08-thai_ornament-002.png,02_svg_512_tight_currentColor/08_thai_ornament/wafo-08-thai_ornament-002.svg,03_webp_original_transparent_q86/08_thai_ornament/wafo-08-thai_ornament-002.webp,04_webp_background_1920x1080/08_thai_ornament/wafo-08-thai_ornament-002-bg1920.webp,v2_fast_clean_then_svg,"14,17,498,494",20.879,266,21145,complex_svg_many_paths
wafo-08-thai_ornament-013,wafo-asset--08-thai_ornament-013,08,thai_ornament,Thai Ornament 傳統泰式紋樣,13,1254x1254,max512,08_Thai_Ornament_#U50b3#U7d71#U6cf0#U5f0f#U7d0b#U6a23/#U6cf0#U570b#U4f5b#U6559#U98a8#U683c#U88dd#U98fe#U5716#U6a23.png,08_Thai_Ornament_傳統泰式紋樣/泰國佛教風格裝飾圖樣.png,01_clean_png_512_transparent/08_thai_ornament/wafo-08-thai_ornament-013.png,02_svg_512_tight_currentColor/08_thai_ornament/wafo-08-thai_ornament-013.svg,03_webp_original_transparent_q86/08_thai_ornament/wafo-08-thai_ornament-013.webp,04_webp_background_1920x1080/08_thai_ornament/wafo-08-thai_ornament-013-bg1920.webp,v2_fast_clean_then_svg,"15,18,497,494",15.874,421,26903,complex_svg_many_paths
wafo-08-thai_ornament-014,wafo-asset--08-thai_ornament-014,08,thai_ornament,Thai Ornament 傳統泰式紋樣,14,1254x1254,max512,08_Thai_Ornament_#U50b3#U7d71#U6cf0#U5f0f#U7d0b#U6a23/#U6cf0#U5f0f#U4f5b#U6559#U795e#U8056#U7d0b#U6a23#U5716#U793a.png,08_Thai_Ornament_傳統泰式紋樣/泰式佛教神聖紋樣圖示.png,01_clean_png_512_transparent/08_thai_ornament/wafo-08-thai_ornament-014.png,02_svg_512_tight_currentColor/08_thai_ornament/wafo-08-thai_ornament-014.svg,03_webp_original_transparent_q86/08_thai_ornament/wafo-08-thai_ornament-014.webp,04_webp_background_1920x1080/08_thai_ornament/wafo-08-thai_ornament-014-bg1920.webp,v2_fast_clean_then_svg,"14,19,498,493",22.855,442,30010,complex_svg_many_paths
